ID,morph,T0,P,a0,a1,a10,a2,a3,a4,a5,a6,a7,a8,a9,w,class,class_Selam,label,cluster,pca_features_0,pca_features_1
KIC09706078,0.6,54954.137288,0.6135606,1.6052427794833688,1.241600116206914,-1.1974216069988604,0.3136797681131618,-0.749384308266344,-1.4229265367984578,-1.328905625423607,-0.4630002994941317,0.713742839030146,1.412552044585491,0.874450974523294,0.2282803349096094,SemiDetached,EA,0,EA,-0.2613201989604457,-0.08687914157095075
KIC05216727,0.48,54964.929149,1.5130232,-19.18724081274672,-11.84803679165187,-15.94613472544853,5.516734872292857,21.555571407390573,24.211711126706277,8.564671032525286,-16.46362090092678,-28.467577011807528,-5.386175005185977,38.439207793890155,0.2905769580546333,SemiDetached,EB,2,EW,-0.06949184705134324,0.07144165071862613
KIC04285087,0.31,54966.450124,4.4860312,-695.7318831609277,-492.0514636965179,163.1610719360193,20.157796849831364,577.4408898969373,852.9700470704446,622.5339440564715,-45.27237138438597,-685.7031359583539,-620.7663572455095,304.2430066283122,0.2479589098966558,Detached,EB,1,EB,7.229240912170915,1.7864452727144604
KIC07368103,0.54,54965.354015,2.1825147,0.9923686661731796,-0.020306144278965,-0.0046381920587278,-0.022077851098311,-0.0100358595900885,-0.0115347121505399,-0.0087904082108174,-0.0097371442884834,-0.0065356256360274,-0.0071637386376318,-0.0042195204272225,6.47090415290075,SemiDetached,EA,0,EA,-0.24393523667805955,-0.09131179679369064
KIC09221398,0.04,54955.973793,13.78752,4.294522248204283,2.883259312352933,-0.1372517270249418,-0.4749452824468155,-3.640314816744517,-4.468079346366491,-2.2526527111489307,1.4858345935860524,3.64879122734975,1.8667960394282412,-2.206230727327336,0.2769284742354375,Detached,EA,0,EA,-0.28403999643494954,-0.10977565312588583
KIC06665064,0.52,54964.697452,0.6983698,1.9091034998334369,1.4632878304623755,-1.4760778443125993,0.3301193660337761,-0.957923631267405,-1.7615240069761378,-1.632242737043993,-0.5745873929212879,0.8595247273104272,1.7317301537287613,1.1083388537288863,0.2093086461704648,SemiDetached,EA,0,EA,-0.26459399917693077,-0.0871183667770281
KIC09028024,0.86,54968.540428,3.8578626,-22.80954887288386,-11.636067277715007,-15.320357495758527,12.568531093200455,29.07168106031544,22.358407359256724,-3.813242554940579,-26.58574855715052,-21.807794509271233,9.801146442628834,29.146275926596548,0.557513101947039,Ellipsoidal,EB,2,EW,-0.10963987789947564,0.23182242968621847
KIC09161428,0.92,55002.082455,0.3025934,-22.686130939608827,-10.794499640832768,-12.594642233364617,14.308385150436584,29.616067563940607,19.491917919288426,-8.691025573042337,-27.707884239585148,-15.272627219841652,16.04923065880659,19.2035488026748,0.6740766576427856,Ellipsoidal,EB,2,EW,-0.13629363849025203,0.268635013470763
KIC04252322,0.02,54970.075735,14.5915165,7.618093665737182,5.43691027160089,-4.299690787514048,0.0629564818739464,-5.5652307359089805,-8.235936551858426,-6.2657038169969095,-0.7132284978186766,4.8359985445640925,6.232056138113437,1.8937735967232272,2.4081323381783606e-09,Detached,EA,0,EA,-0.3226604381164965,-0.10447801517975683
KIC08509346,0.2,54968.521635,6.0990331,0.9983239983642768,-0.003934281301765,-0.0020550703770489,-0.003313715857734,-0.003237348676398,-0.0031531070734026,-0.0030923210743077,-0.003039084725153,-0.0029409323807844,-0.0027549515403594,-0.0024526834106355,11.281476454419652,Detached,EA,0,EA,-0.2441041802617838,-0.09091143574547617
