ID,morph,T0,P,a0,a1,a10,a2,a3,a4,a5,a6,a7,a8,a9,w,label
TIC 0354023414,0.551,1817.543386,1.3532158,3.0061402825649366,-5.800337181820401,-0.5101106101726632,7.9300527901680375,-4.858607399880192,-4.070481873037728,13.301483462965862,-16.786675465164155,13.578328031444475,-7.51657486620122,2.7128238598111585,0.9845206458619313,SemiDetached
TIC 0198382838,0.024,1733.326159,94.1259026,0.8944368547135482,-0.05710196679631749,-1.1063303125952046,2.2194926462675157,-1.8165615530271877,-9.943859303681048,28.097107285085038,-37.533639529867884,32.218989253747694,-18.650073794445383,6.677707795163359,0.3315294519180317,Detached
TIC 0072229825,0.543,1571.945545,1.7955911,-1.4266563753580794,5.414894401604899,-0.0860746496137895,-6.744730047476435,7.982190013078759,-8.269229592589946,7.25783631266213,-5.289689010013386,3.121016766344803,-1.4291905214067933,0.46630531158250615,1.0288357644604649,SemiDetached
TIC 0390651552,0.42,1930.819937,1.467189,0.802397071148131,1.5050627459624633,-0.26321325751484154,-3.585827979411845,2.458490094404588,3.432011219733321,-7.384233574020231,4.11453899134362,1.4211821130650932,-2.97011100034775,1.4696569131926573,0.43877790320307797,SemiDetached
TIC 0302089933,0.201,1799.351344,13.4235454,-12.471949801457862,-93.66607162260482,-3.453691917041311,287.6571716730143,-276.16360198533226,25.902134931329055,236.83112809731966,-315.6302026632161,226.04377351913504,-101.3391491706058,27.288190028475277,0.45662583081092734,Detached
TIC 0268380299,0.283,1691.706044,8.4808361,-7.092498521411112,150.78489345730344,24.878183185783648,-139.27819266363306,-137.00011526253414,42.08872506538703,316.8874980576386,-237.42874096210963,-152.4397358735343,278.51389509094844,-138.91662083066808,0.42888232779972546,Detached
TIC 0260756218,0.357,1326.961102,1.9563636,8.517496979072197,-25.980333772920105,-0.7989862467493641,38.10845609966051,-19.18829103762964,-28.093548886950163,67.57549399576355,-72.16959550467355,48.7960043459993,-21.786628106191756,6.0166119113419825,0.8123680854217542,Detached
TIC 0418532689,0.62,1597.298526,0.3803666,304.3190164371954,-47.84633714131588,-17.69144848355684,-1275.37814784131,2563.544227371023,-3131.4286548772266,2816.6485467273947,-1958.546666982118,1054.632149509387,-425.6997055583617,118.2132380453444,0.989380129077644,SemiDetached
TIC 0079403459,0.583,1325.359036,0.4353347,-417.6830965952321,293.367890992903,112.64949607225066,216.05469740659822,-414.0398087602425,386.8691347113238,661.7948233000928,-791.0403807114884,-841.8407123639703,1535.1687300336453,-740.3209020384776,0.2493544827260254,SemiDetached
TIC 0236537131,0.561,1711.609714,0.6311411,-349.86018666991043,391.2428875340344,114.05026877177396,521.0140876535913,-972.233102752796,-188.5852682235819,1420.4093062996117,-690.0740925933713,-898.1550733767707,1275.1370655769242,-621.958663200104,0.43920421167058,SemiDetached
