ID,morph,T0,P,a0,a1,a10,a2,a3,a4,a5,a6,a7,a8,a9,w,label
TIC 0066080183,0.745,1738.680957,0.4011578,-13.997290896480736,-20.735548915320617,465.97946457302095,-35.35006700780032,-46.512291530698896,-48.98327769250993,-51.09730525301494,-68.26207512857056,-100.88210771452606,-105.41383997581319,26.297789648285644,0.005707722640478831,OverContact
TIC 0189349514,0.578,1545.360982,2.5142319,0.9978425982304695,0.004172112261671804,-0.00020336434978980036,-0.004535982667526095,0.0027087777792642676,-0.0027572880160183625,0.0020935985033164743,-0.0016126626962620955,0.001019086437614058,-0.0006558166842000465,0.0002876500041484893,5.081816546161826,SemiDetached
TIC 0370085638,0.248,1608.549587,10.7713548,1.0015400347191086,-0.0028980832699660544,-0.007288313568512269,-0.011121421514481651,-0.004074364971988136,-0.00905017865446545,-0.007355255493856038,-0.0025120770988773275,-0.008741506117352957,-0.00618127819833332,-0.007471726025741041,7.6888784924071265,Detached
TIC 0167554898,0.367,1413.027802,4.4537006,-1.4132410525197108,-0.577992507233413,-5.765921720651036,1.3739726032030077,3.0251666939048008,2.7803675396719867,-0.09584092434377162,-4.273088532633153,-5.6873902269270245,0.4849047853580789,11.148057625083666,0.35624609060461426,Detached
TIC 0294092966,0.673,1570.980074,0.9022624,1.0001003729857683,-0.006324618153461789,-0.0014422478749543137,-0.013232177812090774,-0.0020352149595080516,-0.0018032513932271848,-0.0013355638776707875,-0.001985240691966484,-0.0011745005119087315,-0.001724251376145342,-0.0009647546229122891,6.3415111525814,SemiDetached
TIC 0284350181,0.039,1976.677118,18.8944038,6.641752254812235,4.988385701748617,-7.748493109353841,0.7359770038290526,-4.252380494471009,-7.652160542731012,-7.5888614068747415,-3.515069185796316,3.1491907781225343,8.738676240445066,7.502596979814458,-6.13283374287714e-12,Detached
TIC 0318210930,0.792,1870.588155,0.2277127,-58.46133074193481,-47.28004241062315,186.93408224167342,-24.874514375847298,-15.78696252224733,-36.98304232834371,-78.80654260929134,-102.69560469956267,-62.861683713415516,53.92357823308025,187.94498302880953,0.004668074826450448,OverContact
TIC 0455064763,0.767,1438.234246,0.2957064,-72.38109219429896,-62.77775691757196,514.7706810237114,-40.50239645135519,-21.848900053029247,-24.153923214162397,-55.051278068935034,-103.45993757089786,-135.13598628180475,-93.5406337240082,95.12431460681461,0.005150103924411678,OverContact
TIC 0051288359,0.574,1629.372777,1.8014089,1.0002443832088928,-0.0005351617761299691,-0.0011004545153595786,-0.007093728355086822,0.00026648620993020313,-0.005013606313161409,2.7310100407582542e-05,-0.003563734212358027,1.5953747302494925e-05,-0.0024982452343144217,-0.00018210656685837724,6.2622742272177065,SemiDetached
TIC 0320524751,0.13,1956.36239,8.9522212,0.9996030510531896,-0.0020009830029082487,-0.0019550737692610952,-0.0022065196332785256,-0.0022767227295887485,-0.002324731482094818,-0.0024122591920303473,-0.0023774052669561416,-0.0022366564773106824,-0.002227787815791723,-0.00217414797493103,10.184111818340693,Detached
