in_catalog,tic__tess_id,date_added,date_modified,sectors,tic__ra,tic__dec,tic__Tmag,tic__glat,tic__glon,tic__pmra,tic__pmdec,bjd0,bjd0_uncert,period,period_uncert,morph_coeff,tic__teff,tic__logg,tic__abun,source,flags
True, 0004971740, 2020-07-28 16:49:21, , 21, 148.865778, 35.002483, 9.87, 189.906747, 51.815282, -36.9984, -62.9708, 1871.100901, 0.003607, 0.8677957, 0.0002208, 0.360, 5592, 4.18, , LCF, ,
True, 0005092088, 2020-07-28 16:49:37, , 8;9;35;36, 142.143306, -37.079991, 12.01, 264.092092, 10.057520, -3.62953, 0.255287, 1522.611897, 0.002992, 10.1258820, 0.0000589, 0.231, 7356, 4.08, , LCF, ,
True, 0005205367, 2021-02-23 2:58:44, , 26, 269.529078, 15.139419, 6.68, 40.868725, 18.491735, None, None, 2011.595338, 0.001015, 3.9928126, 0.0005206, 0.485, 5779, 3.57, , LCF, ,
True, 0005364915, 2020-07-28 17:17:01, , 8, 139.210217, -21.954490, 8.12, 250.922201, 18.589513, -14.9935, 1.59954, 1524.437252, 0.000181, 11.1448055, 0.0006481, 0.159, 9388, 3.54, , LCF, ,
True, 0005506314, 2020-07-28 18:42:52, , 9, 153.122138, -19.824212, 9.36, 259.339831, 29.287167, -15.5758, -7.06015, 1552.394236, 0.002575, 8.2539175, 0.0047170, 1.016, 7692, 3.54, , LCF, ,
True, 0005674169, 2020-07-28 18:46:48, , 18, 33.036553, 27.138397, 9.34, 144.242835, -32.371668, -70.5425, 29.6593, 1790.818429, 0.000012, 0.3182028, 0.0000139, 0.854, 5961, 4.25, -0.41, LCF, ,
True, 0005703872, 2020-07-28 16:49:53, , 8;9, 143.360351, -39.365419, 7.88, 266.396493, 9.070867, -40.8594, 29.3952, 1517.517526, 0.007557, 16.2814462, 0.0023189, 0.163, 5956, 3.74, , LCF, ,
True, 0005868998, 2020-07-28 16:41:17, , 10;37, 187.782154, -23.773564, 13.94, 296.961584, 38.862633, -35.2357, -35.0438, 1571.067575, 0.142537, 0.6356447, 0.0001173, 0.443, 3644, 4.37, , LCF, ,
True, 0005969274, 2020-07-28 18:43:17, , 10;37, 193.501199, -18.037622, 6.89, 303.792316, 44.829837, -32.4707, 1.72248, 1570.686811, 0.009326, 1.0579672, 0.0000149, 0.528, 7929, 3.62, , LCF, ,
True, 0005981829, 2020-07-27 20:25:52, , 10, 193.685641, -21.310980, 9.10, 303.960465, 41.554168, -27.5721, -31.0635, 1571.120876, 0.000291, 1.7990760, 0.0000484, 0.607, 6166, 3.76, , LCF, ,
