,#,bjd,phase,raw_flux,raw_err,corr_flux,corr_err,dtr_flux,dtr_err
5921,55223.25949604,-0.01596859,0.998937,3.1e-05,1.008254,3.1e-05,0.998858,3.1e-05,
5922,55223.27992971,-0.01501878,0.998924,3.1e-05,1.008244,3.1e-05,0.998845,3.1e-05,
5923,55223.30036337,-0.01406897,0.998733,3.1e-05,1.00806,3.1e-05,0.998654,3.1e-05,
5924,55223.32079703,-0.01311916,0.998838,3.1e-05,1.008181,3.1e-05,0.998759,3.1e-05,
5925,55223.34123069,-0.01216934,0.998735,3.1e-05,1.008086,3.1e-05,0.998655,3.1e-05,
5926,55223.36166435,-0.01121953,0.998646,3.1e-05,1.007995,3.1e-05,0.998566,3.1e-05,
5927,55223.38209812,-0.01026971,0.998697,3.1e-05,1.008035,3.1e-05,0.998616,3.1e-05,
5928,55223.40253168,-0.00931991,0.998976,3.1e-05,1.008302,3.1e-05,0.998895,3.1e-05,
5929,55223.42296535,-0.00837009,0.998862,3.1e-05,1.00817,3.1e-05,0.998781,3.1e-05,
5930,55223.44339911,-0.00742028,0.998699,3.1e-05,1.007995,3.1e-05,0.998618,3.1e-05,
5931,55223.46383268,-0.00647047,0.99865,3.1e-05,1.007944,3.1e-05,0.998568,3.1e-05,
5932,55223.48426634,-0.00552065,0.998929,3.1e-05,1.008233,3.1e-05,0.998847,3.1e-05,
5933,55223.50470011,-0.00457084,0.998892,3.1e-05,1.008203,3.1e-05,0.99881,3.1e-05,
5934,55223.52513367,-0.00362103,0.998945,3.1e-05,1.00826,3.1e-05,0.998862,3.1e-05,
5935,55223.54556734,-0.00267122,0.998963,3.1e-05,1.008275,3.1e-05,0.99888,3.1e-05,
5936,55223.56600101,-0.0017214,0.998662,3.1e-05,1.007957,3.1e-05,0.998578,3.1e-05,
5937,55223.58643467,-0.00077159,0.998307,3.1e-05,1.00758,3.1e-05,0.998223,3.1e-05,
5938,55223.60686834,0.00017822,0.998285,3.1e-05,1.00754,3.1e-05,0.998201,3.1e-05,
5939,55223.62730201,0.00112804,0.998388,3.1e-05,1.007631,3.1e-05,0.998303,3.1e-05,
5940,55223.64773578,0.00207785,0.998566,3.1e-05,1.007807,3.1e-05,0.998481,3.1e-05,
5941,55223.66816934,0.00302766,0.998521,3.1e-05,1.007763,3.1e-05,0.998436,3.1e-05,
5942,55223.68860301,0.00397747,0.998739,3.1e-05,1.007991,3.1e-05,0.998653,3.1e-05,
5943,55223.70903678,0.00492729,0.998626,3.1e-05,1.007883,3.1e-05,0.99854,3.1e-05,
5944,55223.72947035,0.0058771,0.99842,3.1e-05,1.007675,3.1e-05,0.998334,3.1e-05,
5945,55223.74990402,0.00682691,0.998535,3.1e-05,1.007785,3.1e-05,0.998448,3.1e-05,
5946,55223.77033779,0.00777673,0.998623,3.1e-05,1.007867,3.1e-05,0.998536,3.1e-05,
5947,55223.79077136,0.00872654,0.998429,3.1e-05,1.007662,3.1e-05,0.998342,3.1e-05,
5948,55223.81120504,0.00967635,0.998495,3.1e-05,1.007727,3.1e-05,0.998407,3.1e-05,
5949,55223.83163871,0.01062617,0.998525,3.1e-05,1.007762,3.1e-05,0.998437,3.1e-05,
5950,55223.85207238,0.01157598,0.998745,3.1e-05,1.007992,3.1e-05,0.998657,3.1e-05,
5951,55223.87250605,0.01252579,0.998689,3.1e-05,1.007938,3.1e-05,0.9986,3.1e-05,
5952,55223.89293972,0.01347561,0.998718,3.1e-05,1.007964,3.1e-05,0.998629,3.1e-05,
5953,55223.9133734,0.01442542,0.998645,3.1e-05,1.007877,3.1e-05,0.998556,3.1e-05,
5954,55223.93380707,0.01537523,0.998487,3.1e-05,1.0077,3.1e-05,0.998397,3.1e-05,
5955,55223.95424065,0.01632504,0.998588,3.1e-05,1.007787,3.1e-05,0.998498,3.1e-05,
5956,55223.97467442,0.01727486,0.99874,3.1e-05,1.007932,3.1e-05,0.998649,3.1e-05,
5957,55223.99510809,0.01822467,0.998766,3.1e-05,1.007957,3.1e-05,0.998675,3.1e-05,
5958,55224.01554167,0.01917448,0.998804,3.1e-05,1.008003,3.1e-05,0.998713,3.1e-05,
5959,55224.03597544,0.0201243,0.998849,3.1e-05,1.008058,3.1e-05,0.998757,3.1e-05,
5960,55224.05640912,0.02107411,0.998755,3.1e-05,1.007971,3.1e-05,0.998663,3.1e-05,
5961,55224.0768427,0.02202392,0.999016,3.1e-05,1.008239,3.1e-05,0.998925,3.1e-05,
5962,55224.09727647,0.02297374,0.998642,3.1e-05,1.007851,3.1e-05,0.99855,3.1e-05,
5963,55224.11771015,0.02392355,0.998793,3.1e-05,1.007989,3.1e-05,0.9987,3.1e-05,
5964,55224.13814373,0.02487336,0.998712,3.1e-05,1.007891,3.1e-05,0.998619,3.1e-05,
5965,55224.1585775,0.02582318,0.998742,3.1e-05,1.007909,3.1e-05,0.998649,3.1e-05,
5966,55224.17901118,0.02677299,0.998968,3.1e-05,1.008138,3.1e-05,0.998875,3.1e-05,
5967,55224.19944476,0.0277228,0.998963,3.1e-05,1.008142,3.1e-05,0.998869,3.1e-05,
5968,55224.21987854,0.02867262,0.998924,3.1e-05,1.008115,3.1e-05,0.99883,3.1e-05,
5969,55224.24031222,0.02962243,0.998936,3.1e-05,1.008138,3.1e-05,0.998841,3.1e-05,
