,#,bjd,phase,raw_flux,raw_err,corr_flux,corr_err,dtr_flux,dtr_err
2719,55520.01931778,-0.06443737,0.998792,5.6e-05,1.001577,5.7e-05,1.00013,5.6e-05,
2720,55520.03975034,-0.0576348,0.998583,5.6e-05,1.001368,5.7e-05,0.999918,5.6e-05,
2721,55520.0601829,-0.05083222,0.998592,5.6e-05,1.001373,5.7e-05,0.999925,5.6e-05,
2722,55520.10104802,-0.03722708,0.987702,5.6e-05,0.990366,5.7e-05,0.989016,5.6e-05,
2723,55520.12148058,-0.03042451,0.943142,5.6e-05,0.945282,5.7e-05,0.944394,5.6e-05,
2724,55520.14191314,-0.02362194,0.876005,5.6e-05,0.877377,5.7e-05,0.877166,5.6e-05,
2725,55520.1623457,-0.01681937,0.794482,5.6e-05,0.794909,5.7e-05,0.795533,5.6e-05,
2726,55520.18277826,-0.0100168,0.705831,5.6e-05,0.705241,5.7e-05,0.706763,5.6e-05,
2727,55520.20321081,-0.00321423,0.619786,5.6e-05,0.618218,5.7e-05,0.620603,5.6e-05,
2728,55520.22364347,0.00358837,0.588956,5.6e-05,0.587036,5.7e-05,0.589731,5.6e-05,
2729,55520.24407593,0.01039091,0.660055,5.6e-05,0.658944,5.7e-05,0.660922,5.6e-05,
2730,55520.26450849,0.01719348,0.74939,5.6e-05,0.749309,5.7e-05,0.750373,5.6e-05,
2731,55520.28494115,0.02399608,0.835577,5.6e-05,0.836496,5.7e-05,0.836671,5.6e-05,
2732,55520.30537361,0.03079862,0.911174,5.6e-05,0.912976,5.7e-05,0.912365,5.6e-05,
2733,55520.32580617,0.03760119,0.968842,5.6e-05,0.97131,5.7e-05,0.970106,5.6e-05,
2734,55520.34623883,0.04440379,0.997334,5.6e-05,1.00012,5.7e-05,0.998633,5.6e-05,
2735,55520.36667129,0.05120633,0.999292,5.6e-05,1.002118,5.7e-05,1.000591,5.6e-05,
2736,55520.38710395,0.05800894,0.999585,5.6e-05,1.002396,5.7e-05,1.000883,5.6e-05,
2737,55520.40753651,0.06481151,0.999701,5.6e-05,1.002526,5.7e-05,1.000996,5.6e-05,
2738,55520.42796897,0.07161404,0.999792,5.6e-05,1.002625,5.7e-05,1.001085,5.6e-05,
2739,55520.44840163,0.07841665,1.000031,5.6e-05,1.002851,5.7e-05,1.001322,5.6e-05,
2740,55520.46883419,0.08521922,1.000124,5.6e-05,1.002937,5.7e-05,1.001413,5.6e-05,
2741,55520.48926665,0.09202176,1.000361,5.6e-05,1.003198,5.7e-05,1.001648,5.6e-05,
2742,55520.50969931,0.09882436,1.000509,5.6e-05,1.003357,5.7e-05,1.001794,5.6e-05,
2743,55520.53013187,0.10562693,1.000604,5.6e-05,1.003445,5.7e-05,1.001887,5.6e-05,
2744,55520.55056442,0.1124295,1.000844,5.6e-05,1.003687,5.7e-05,1.002125,5.6e-05,
2745,55520.57099698,0.11923207,1.001069,5.6e-05,1.003903,5.7e-05,1.002348,5.6e-05,
2746,55520.59142954,0.12603464,1.001266,5.6e-05,1.004114,5.7e-05,1.002543,5.6e-05,
2747,55520.6118622,0.13283724,1.001279,5.6e-05,1.004131,5.7e-05,1.002554,5.6e-05,
2748,55520.63229466,0.13963978,1.00131,5.6e-05,1.004163,5.7e-05,1.002583,5.6e-05,
2749,55520.65272722,0.14644235,1.001486,5.6e-05,1.004328,5.7e-05,1.002757,5.6e-05,
2750,55520.67315988,0.15324495,1.001626,5.6e-05,1.004479,5.7e-05,1.002895,5.6e-05,
2751,55520.69359244,0.16004753,1.001826,5.6e-05,1.004675,5.7e-05,1.003093,5.6e-05,
2752,55520.7140249,0.16685006,1.001864,5.6e-05,1.004707,5.7e-05,1.003128,5.6e-05,
2753,55520.73445756,0.17365267,1.001969,5.6e-05,1.00482,5.7e-05,1.003231,5.6e-05,
2754,55520.75489012,0.18045524,1.002085,5.6e-05,1.004938,5.7e-05,1.003345,5.6e-05,
2755,55520.77532258,0.18725777,1.002407,5.6e-05,1.005251,5.7e-05,1.003665,5.6e-05,
2756,55520.79575524,0.19406038,1.002482,5.6e-05,1.005322,5.7e-05,1.003738,5.6e-05,
2757,55520.8161877,0.20086292,1.002789,5.6e-05,1.005648,5.7e-05,1.004043,5.6e-05,
2758,55520.83662036,0.20766552,1.002803,5.6e-05,1.005658,5.7e-05,1.004055,5.6e-05,
2759,55520.85705292,0.21446809,1.002866,5.7e-05,1.005704,5.7e-05,1.004116,5.7e-05,
2760,55520.87748538,0.22127063,1.003159,5.7e-05,1.006005,5.7e-05,1.004407,5.7e-05,
2761,55520.89791804,0.22807323,1.003248,5.7e-05,1.006103,5.7e-05,1.004494,5.7e-05,
2762,55520.9183506,0.2348758,1.003496,5.7e-05,1.006342,5.7e-05,1.00474,5.7e-05,
2763,55520.93878306,0.24167834,1.003574,5.7e-05,1.006409,5.7e-05,1.004816,5.7e-05,
2764,55520.95921573,0.24848095,1.003513,5.7e-05,1.006347,5.7e-05,1.004752,5.7e-05,
2765,55520.97964829,0.25528352,1.003494,5.7e-05,1.006328,5.7e-05,1.004731,5.7e-05,
2766,55521.00008075,0.26208605,1.003554,5.7e-05,1.006381,5.7e-05,1.004789,5.7e-05,
2767,55521.02051341,0.26888866,1.003567,5.7e-05,1.006388,5.7e-05,1.0048,5.7e-05,
2768,55521.04094597,0.27569123,1.0036,5.7e-05,1.006446,5.7e-05,1.00483,5.7e-05,
2769,55521.06137863,0.28249383,1.003647,5.7e-05,1.006477,5.7e-05,1.004875,5.7e-05,
2770,55521.08181109,0.28929637,1.003572,5.7e-05,1.006386,5.7e-05,1.004798,5.7e-05,
2771,55521.10224365,0.29609894,1.003624,5.6e-05,1.006457,5.7e-05,1.004848,5.6e-05,
2772,55521.12267631,0.30290155,1.003662,5.6e-05,1.006487,5.7e-05,1.004884,5.6e-05,
2773,55521.14310877,0.30970408,1.003564,5.6e-05,1.006377,5.7e-05,1.004783,5.6e-05,
2774,55521.16354133,0.31650665,1.003359,5.6e-05,1.006177,5.7e-05,1.004576,5.6e-05,
2775,55521.18397399,0.32330926,1.00327,5.6e-05,1.00607,5.7e-05,1.004484,5.6e-05,
2776,55521.20440655,0.33011183,1.003172,5.6e-05,1.00598,5.7e-05,1.004384,5.6e-05,
2777,55521.22483901,0.33691437,1.003071,5.6e-05,1.00587,5.7e-05,1.004281,5.6e-05,
2778,55521.24527167,0.34371697,1.002905,5.6e-05,1.005703,5.7e-05,1.004112,5.6e-05,
2779,55521.26570423,0.35051954,1.002828,5.6e-05,1.005617,5.7e-05,1.004033,5.6e-05,
2780,55521.2861368,0.35732211,1.002659,5.6e-05,1.005451,5.7e-05,1.003862,5.6e-05,
2781,55521.30656936,0.36412468,1.002554,5.6e-05,1.005335,5.7e-05,1.003754,5.6e-05,
2782,55521.32700192,0.37092726,1.00248,5.6e-05,1.005255,5.7e-05,1.003678,5.6e-05,
2783,55521.34743458,0.37772986,1.002222,5.6e-05,1.004985,5.7e-05,1.003417,5.6e-05,
2784,55521.36786704,0.3845324,1.002057,5.6e-05,1.004818,5.7e-05,1.00325,5.6e-05,
2785,55521.3882996,0.39133497,1.001866,5.6e-05,1.004615,5.7e-05,1.003057,5.6e-05,
2786,55521.40873226,0.39813757,1.001725,5.6e-05,1.004471,5.7e-05,1.002913,5.6e-05,
2787,55521.42916472,0.40494011,1.001605,5.6e-05,1.004366,5.7e-05,1.002791,5.6e-05,
2788,55521.44959738,0.41174271,1.00138,5.6e-05,1.004137,5.7e-05,1.002563,5.6e-05,
2789,55521.47002984,0.41854525,1.001018,5.6e-05,1.003762,5.7e-05,1.002199,5.6e-05,
2790,55521.49046241,0.42534782,1.000875,5.6e-05,1.003607,5.7e-05,1.002053,5.6e-05,
2791,55521.51089507,0.43215043,1.000632,5.6e-05,1.003367,5.7e-05,1.001808,5.6e-05,
2792,55521.53132753,0.43895297,1.000597,5.6e-05,1.003323,5.7e-05,1.001771,5.6e-05,
2793,55521.55176009,0.44575554,1.000273,5.6e-05,1.003028,5.7e-05,1.001444,5.6e-05,
2794,55521.57219275,0.45255814,1.000331,5.6e-05,1.003046,5.7e-05,1.0015,5.6e-05,
2795,55521.59262521,0.45936068,0.998305,5.6e-05,1.001014,5.7e-05,0.999469,5.6e-05,
2796,55521.61305777,0.46616325,0.970564,5.6e-05,0.972953,5.7e-05,0.971694,5.6e-05,
2797,55521.63349044,0.47296585,0.91379,5.6e-05,0.915487,5.7e-05,0.914852,5.6e-05,
2798,55521.6539229,0.47976839,0.839554,5.6e-05,0.840408,5.7e-05,0.840528,5.6e-05,
2799,55521.67435556,0.486571,0.755022,5.6e-05,0.754941,5.7e-05,0.755896,5.6e-05,
2800,55521.69478812,0.49337357,0.66812,5.6e-05,0.667018,5.7e-05,0.668892,5.6e-05,
2801,55521.71522068,-0.49982386,0.599885,5.6e-05,0.597994,5.7e-05,0.600577,5.6e-05,
2802,55521.73565324,-0.49302129,0.627151,5.6e-05,0.625553,5.7e-05,0.627873,5.6e-05,
2803,55521.75608581,-0.48621872,0.709764,5.6e-05,0.70913,5.7e-05,0.710579,5.6e-05,
2804,55521.77651837,-0.47941615,0.796607,5.6e-05,0.796976,5.7e-05,0.79752,5.6e-05,
2805,55521.79695093,-0.47261358,0.876899,5.6e-05,0.878195,5.7e-05,0.877903,5.6e-05,
2806,55521.81738349,-0.46581101,0.943832,5.6e-05,0.945879,5.7e-05,0.94491,5.6e-05,
2807,55521.85824872,-0.45220583,0.999629,5.6e-05,1.002335,5.7e-05,1.000766,5.6e-05,
2808,55521.87868118,-0.44540329,0.999631,5.6e-05,1.002312,5.7e-05,1.000766,5.6e-05,
2809,55521.89911384,-0.43860069,0.999729,5.6e-05,1.002429,5.7e-05,1.000862,5.6e-05,
2810,55521.9195464,-0.43179812,0.999924,5.6e-05,1.002617,5.7e-05,1.001055,5.6e-05,
2811,55521.93997886,-0.42499558,0.999942,5.6e-05,1.002641,5.7e-05,1.001071,5.6e-05,
2812,55521.96041153,-0.41819297,1.000165,5.6e-05,1.002859,5.7e-05,1.001292,5.6e-05,
2813,55521.98084409,-0.4113904,1.000271,5.6e-05,1.002972,5.7e-05,1.001396,5.6e-05,
2814,55522.00127655,-0.40458786,1.000376,5.6e-05,1.003082,5.7e-05,1.001499,5.6e-05,
2815,55522.02170921,-0.39778526,1.000676,5.6e-05,1.003388,5.7e-05,1.001797,5.6e-05,
2816,55522.04214178,-0.39098269,1.000834,5.6e-05,1.003543,5.7e-05,1.001953,5.6e-05,
2817,55522.06257424,-0.38418015,1.001041,5.6e-05,1.003741,5.7e-05,1.002158,5.6e-05,
2818,55522.0830069,-0.37737754,1.001263,5.6e-05,1.003976,5.7e-05,1.002379,5.6e-05,
2819,55522.10343936,-0.37057501,1.001468,5.6e-05,1.004172,5.7e-05,1.002582,5.6e-05,
2820,55522.12387203,-0.3637724,1.001506,5.6e-05,1.004224,5.7e-05,1.002617,5.6e-05,
2821,55522.14430459,-0.35696983,1.001899,5.6e-05,1.004628,5.7e-05,1.003009,5.6e-05,
2822,55522.16473705,-0.35016729,1.001983,5.6e-05,1.004686,5.7e-05,1.003091,5.6e-05,
2823,55522.18516971,-0.34336469,1.002151,5.6e-05,1.004867,5.7e-05,1.003257,5.6e-05,
2824,55522.20560228,-0.33656211,1.002467,5.6e-05,1.005187,5.7e-05,1.003571,5.6e-05,
2825,55522.22603484,-0.32975954,1.002652,5.6e-05,1.005373,5.7e-05,1.003754,5.6e-05,
2826,55522.2464674,-0.32295697,1.00279,5.6e-05,1.005507,5.7e-05,1.00389,5.6e-05,
2827,55522.26689996,-0.3161544,1.002876,5.6e-05,1.005585,5.7e-05,1.003974,5.6e-05,
2828,55522.28733263,-0.30935179,1.002993,5.6e-05,1.005702,5.7e-05,1.004089,5.6e-05,
2829,55522.30776509,-0.30254926,1.003096,5.7e-05,1.005819,5.7e-05,1.00419,5.7e-05,
2830,55522.32819765,-0.29574669,1.003206,5.7e-05,1.005924,5.7e-05,1.004298,5.7e-05,
2831,55522.34863032,-0.28894408,1.00341,5.7e-05,1.006131,5.7e-05,1.0045,5.7e-05,
2832,55522.36906288,-0.28214151,1.00345,5.7e-05,1.006182,5.7e-05,1.004538,5.7e-05,
2833,55522.38949534,-0.27533897,1.003425,5.7e-05,1.006134,5.7e-05,1.004511,5.7e-05,
2834,55522.40992801,-0.26853636,1.003529,5.7e-05,1.006254,5.7e-05,1.004613,5.7e-05,
2835,55522.43036057,-0.26173379,1.003419,5.7e-05,1.006128,5.7e-05,1.0045,5.7e-05,
2836,55522.45079303,-0.25493126,1.003445,5.7e-05,1.006175,5.7e-05,1.004524,5.7e-05,
2837,55522.47122569,-0.24812865,1.003314,5.7e-05,1.006017,5.7e-05,1.004391,5.7e-05,
2838,55522.49165826,-0.24132608,1.003302,5.7e-05,1.006025,5.7e-05,1.004377,5.7e-05,
2839,55522.51209082,-0.23452351,1.003306,5.7e-05,1.006015,5.7e-05,1.004379,5.7e-05,
2840,55522.53252338,-0.22772094,1.003178,5.6e-05,1.00588,5.7e-05,1.004248,5.6e-05,
2841,55522.55295595,-0.22091836,1.003075,5.6e-05,1.005794,5.7e-05,1.004143,5.6e-05,
2842,55522.57338861,-0.21411576,1.002985,5.6e-05,1.005691,5.7e-05,1.004051,5.6e-05,
2843,55522.59382108,-0.20731322,1.002855,5.6e-05,1.005569,5.7e-05,1.003919,5.6e-05,
2844,55522.61425364,-0.20051065,1.002725,5.6e-05,1.005435,5.7e-05,1.003786,5.6e-05,
2845,55522.6346863,-0.19370804,1.002456,5.6e-05,1.005167,5.7e-05,1.003515,5.6e-05,
2846,55522.65511877,-0.1869055,1.002163,5.6e-05,1.004866,5.7e-05,1.00322,5.6e-05,
2847,55522.67555133,-0.18010293,1.002062,5.6e-05,1.004751,5.7e-05,1.003116,5.6e-05,
2848,55522.69598399,-0.17330033,1.00182,5.6e-05,1.004533,5.7e-05,1.002872,5.6e-05,
2849,55522.71641646,-0.16649779,1.001598,5.6e-05,1.004298,5.7e-05,1.002648,5.6e-05,
2850,55522.73684912,-0.15969518,1.001379,5.6e-05,1.004065,5.7e-05,1.002426,5.6e-05,
