,#,bjd,phase,raw_flux,raw_err,corr_flux,corr_err,dtr_flux,dtr_err,rscl_flux,rscl_err
9708,55948.85677979,-0.14018626,0.983455,0.002082,1.353348,0.004052,1.005349,0.002128,1.005349,0.002128,
9709,55948.87721319,-0.10803016,0.98776,0.002082,1.361624,0.004052,1.009718,0.002128,1.009718,0.002128,
9710,55948.89764658,-0.07587407,0.989364,0.002082,1.364687,0.004053,1.011326,0.002129,1.011326,0.002129,
9711,55948.91807998,-0.04371797,0.955725,0.002083,1.299223,0.004054,0.976909,0.002129,0.976909,0.002129,
9712,55948.93851337,-0.01156189,0.862031,0.002083,1.116427,0.004054,0.881111,0.002129,0.881111,0.002129,
9713,55948.95894687,0.02059437,0.868203,0.002083,1.12845,0.004055,0.887391,0.002129,0.887391,0.002129,
9714,55948.97938017,0.05275031,0.968352,0.002084,1.323696,0.004055,0.989722,0.00213,0.989722,0.00213,
9715,55948.99981366,0.08490655,0.989398,0.002084,1.364464,0.004056,1.0112,0.00213,1.0112,0.00213,
9716,55949.02024706,0.11706265,0.995095,0.002084,1.375554,0.004057,1.016991,0.00213,1.016991,0.00213,
9717,55949.04068036,0.14921859,0.996583,0.002085,1.378568,0.004057,1.01848,0.00213,1.01848,0.00213,
9718,55949.06111386,0.18137484,0.999237,0.002085,1.383323,0.004058,1.02116,0.002131,1.02116,0.002131,
9719,55949.08154725,0.21353093,0.99693,0.002085,1.378954,0.004058,1.01877,0.002131,1.01877,0.002131,
9720,55949.10198055,0.24568687,0.998927,0.002084,1.382631,0.004056,1.020778,0.00213,1.020778,0.00213,
9721,55949.12241405,0.27784313,0.991219,0.002083,1.367778,0.004054,1.01287,0.002128,1.01287,0.002128,
9722,55949.14284745,0.30999923,0.994425,0.002082,1.37399,0.004052,1.016114,0.002127,1.016114,0.002127,
9723,55949.16328075,0.34215517,0.988895,0.00208,1.36317,0.004049,1.010431,0.002126,1.010431,0.002126,
9724,55949.18371425,0.37431142,0.981532,0.002079,1.348853,0.004047,1.002876,0.002125,1.002876,0.002125,
9725,55949.20414765,0.40646752,0.96956,0.002078,1.325161,0.004045,0.990611,0.002123,0.990611,0.002123,
9726,55949.22458115,0.43862378,0.963546,0.002077,1.313586,0.004042,0.984436,0.002122,0.984436,0.002122,
9727,55949.24501445,0.47077972,0.892293,0.002076,1.174783,0.00404,0.911609,0.002121,0.911609,0.002121,
9728,55949.28588136,-0.46490791,0.884448,0.002073,1.158283,0.004035,0.903536,0.002118,0.903536,0.002118,
9729,55949.30631466,-0.43275197,0.947945,0.002072,1.283028,0.004034,0.968373,0.002117,0.968373,0.002117,
9730,55949.32674806,-0.40059587,0.952676,0.002071,1.291967,0.004031,0.973175,0.002116,0.973175,0.002116,
9731,55949.34718156,-0.36843961,0.953284,0.00207,1.293339,0.004029,0.973765,0.002114,0.973765,0.002114,
9732,55949.36761487,-0.33628365,0.957491,0.002069,1.301606,0.004027,0.978031,0.002113,0.978031,0.002113,
9733,55949.38804837,-0.3041274,0.961029,0.002068,1.308332,0.004024,0.981613,0.002112,0.981613,0.002112,
9734,55949.40848177,-0.2719713,0.970329,0.002066,1.326319,0.004023,0.991081,0.002111,0.991081,0.002111,
9735,55949.42891518,-0.23981518,0.97401,0.002065,1.333562,0.00402,0.994809,0.002109,0.994809,0.002109,
9736,55949.44934858,-0.20765909,0.978977,0.002064,1.343287,0.004018,0.99985,0.002108,0.99985,0.002108,
9737,55949.46978199,-0.17550297,0.984144,0.002063,1.353213,0.004015,1.005095,0.002107,1.005095,0.002107,
9738,55949.49021539,-0.14334687,0.986853,0.002062,1.358359,0.004013,1.007829,0.002106,1.007829,0.002106,
9739,55949.5106488,-0.11119076,0.988524,0.002061,1.361752,0.004011,1.009504,0.002104,1.009504,0.002104,
9740,55949.5310822,-0.07903466,0.991311,0.002059,1.367176,0.004009,1.012317,0.002103,1.012317,0.002103,
9741,55949.55151561,-0.04687854,0.967752,0.002058,1.321171,0.004007,0.988227,0.002102,0.988227,0.002102,
9742,55949.57194902,-0.01472243,0.864673,0.002057,1.120368,0.004004,0.882939,0.0021,0.882939,0.0021,
9743,55949.59238242,0.01743367,0.865839,0.002059,1.122467,0.004008,0.884101,0.002103,0.884101,0.002103,
9744,55949.61281583,0.04958978,0.963161,0.002062,1.312072,0.004013,0.983444,0.002105,0.983444,0.002105,
9745,55949.63324924,0.0817459,0.994199,0.002064,1.372355,0.004018,1.015103,0.002107,1.015103,0.002107,
9746,55949.65368265,0.11390201,1.002606,0.002066,1.388873,0.004022,1.023654,0.00211,1.023654,0.00211,
9747,55949.67411616,0.14605829,1.001438,0.002069,1.386599,0.004027,1.022429,0.002112,1.022429,0.002112,
9748,55951.84005998,-0.44538984,0.93412,0.002086,1.24981,0.00406,0.955193,0.002133,0.955193,0.002133,
9749,55951.86049343,-0.41323366,0.951744,0.002086,1.284292,0.004058,0.973137,0.002133,0.973137,0.002133,
9750,55951.88092688,-0.38107748,0.948789,0.002086,1.278483,0.004058,0.97004,0.002132,0.97004,0.002132,
9751,55951.90136032,-0.34892132,0.953049,0.002085,1.286641,0.004059,0.97432,0.002132,0.97432,0.002132,
9752,55951.92179377,-0.31676514,0.963821,0.002085,1.307689,0.004059,0.985255,0.002132,0.985255,0.002132,
9753,55951.94222732,-0.28460881,0.965197,0.002085,1.310291,0.004059,0.986586,0.002131,0.986586,0.002131,
9754,55951.96266077,-0.25245263,0.976261,0.002085,1.331813,0.004058,0.997817,0.002131,0.997817,0.002131,
9755,55951.98309412,-0.22029661,0.982579,0.002085,1.344003,0.004058,1.004198,0.002131,1.004198,0.002131,
9756,55952.00352766,-0.18814029,0.987384,0.002085,1.353377,0.004058,1.009031,0.00213,1.009031,0.00213,
9757,55952.02396111,-0.15598411,0.989283,0.002085,1.356993,0.004057,1.010894,0.00213,1.010894,0.00213,
9758,55952.04439446,-0.12382809,0.992265,0.002084,1.362793,0.004057,1.013864,0.00213,1.013864,0.00213,
