KIC,KeplerMorph,KeplerClass,TIC,TessMorph,TessClass,DR3
7259917,0.7,SemiDetached,164463075,,,2104993158584870528
11091082,0.83,Ellipsoidal,27394587,,,2134777489772458112
9071104,0.82,Ellipsoidal,164415717,,,2107003894771936512
4859432,0.77,OverContact,169560786,,,2073643543765069056
6424124,0.91,Ellipsoidal,120253228,,,2104116645957943936
7936219,0.95,Ellipsoidal,351800032,,,2116936882817784192
11875706,0.96,Ellipsoidal,28083863,,,2087263327430224640
8053107,0.82,Ellipsoidal,268484749,,,2079001257767343488
4904304,0.89,Ellipsoidal,120316262,,,2103353035131745664
2444187,0.76,OverContact,137315989,,,2051808892101012736
11042923,0.76,OverContact,28089520,,,2086728758619082240
7542091,0.83,Ellipsoidal,271958272,,,2078006229795399040
10275197,0.79,OverContact,63204706,,,2128464815560103680
8097553,0.74,OverContact,63009560,,,2126161132541762176
8696274,0.95,Ellipsoidal,271044626,,,2079892789892877696
7879399,0.74,OverContact,158389967,,,2105626305482465280
5353374,0.79,OverContact,121864870,,,2101323371029633920
3342425,0.94,Ellipsoidal,137219265,,,2052729217691723776
3557421,0.7,SemiDetached,378083763,,,2052128094072817536
11247386,0.76,OverContact,,,,2129022027437253760
2717141,0.78,OverContact,137548243,,,2051897712023930496
2983113,0.89,Ellipsoidal,122213211,,,2051363349371512320
11805235,0.8,OverContact,399861099,,,2133591941356940928
9717924,0.72,OverContact,271354646,,,2080098123690634112
3732732,0.94,Ellipsoidal,121020683,,,2100372911944124416
9654476,0.71,OverContact,270789500,,,2128123657718886016
10389809,0.77,OverContact,164782205,,,2131427896315652736
10528299,0.81,Ellipsoidal,158984226,,,2130918547555727232
8703528,0.75,OverContact,272720333,,,2079716107819362944
11198068,0.71,OverContact,27458196,,,2134740037657857920
9030509,0.88,Ellipsoidal,271256625,,,2079936564200650112
11403776,0.71,OverContact,424815675,,,2129709943758604416
7173910,0.82,Ellipsoidal,123233353,,,2116743471850051840
11190836,0.93,Ellipsoidal,26584196,,,2129674072191160704
8715667,0.85,Ellipsoidal,239236626,,,2076156030914263552
7217866,0.91,Ellipsoidal,272485319,,,2077205789636861568
7432479,0.71,OverContact,,,,2102597739364995072
8690104,0.77,OverContact,63127268,,,2126586467444292736
7709086,0.79,OverContact,268603824,,,2075970866284007040
3969362,0.8,OverContact,139105595,,,2076168194259767552
10154189,0.87,Ellipsoidal,272282390,,,2080562186315859840
3848042,0.99,Ellipsoidal,122605710,,,2052865866369475712
8982514,0.84,Ellipsoidal,239288474,,,2082174448323876608
6024572,0.86,Ellipsoidal,120319564,,,2104038649351571200
9703626,0.78,OverContact,158841479,,,2127757829583333120
9995660,0.75,OverContact,164556488,,,2107552241835821184
10916675,0.87,Ellipsoidal,267749616,,,2129467226566977408
5374883,0.86,Ellipsoidal,139155425,,,2076601436197983744
7512381,0.75,OverContact,158218818,,,2105645615655449728
9268105,0.76,OverContact,164891316,,,2106511863319278720
6853229,0.96,Ellipsoidal,158794735,,,2102328874413279232
12218858,0.65,SemiDetached,351194096,,,2135432798701726848
10253421,0.68,SemiDetached,123357952,,,2119585400169295104
11410485,0.78,OverContact,27531177,,,2134823291304629120
4937217,0.82,Ellipsoidal,139108796,,,2076294672459697536
10267044,0.82,Ellipsoidal,158840322,,,2130812685200870016
3765708,0.95,Ellipsoidal,184243031,,,2073173571269286656
5951553,0.95,Ellipsoidal,121796548,,,2102203083409901952
10797126,0.77,OverContact,26538822,,,2129276289500825088
8823666,0.79,OverContact,270700622,,,2126452739340953472
8192840,0.95,Ellipsoidal,269120974,,,2076013163123350656
4464999,0.78,OverContact,351064473,,,2053361913609878400
9838047,0.85,Ellipsoidal,271165993,,,2128518244953290880
2858322,0.77,OverContact,137686104,,,2051873179170028032
10877703,0.8,OverContact,28231317,,,2086532225218873472
8496820,0.85,Ellipsoidal,63286594,,,2126390208918891392
10618253,0.9,Ellipsoidal,273874245,,,2086455087605592448
5809868,0.8,OverContact,239227581,,,2076782099704498944
3119295,0.75,OverContact,137349576,,,2052667679399346688
5310387,0.96,Ellipsoidal,172877929,,,2074292874115865216
5022573,0.98,Ellipsoidal,138960108,,,2076484235131656192
10481912,0.96,Ellipsoidal,272079818,,,2080637571583044096
9843451,0.91,Ellipsoidal,272496191,,,2080333006862604672
10389982,0.74,OverContact,164782264,,,2131451703315530752
11924311,0.77,OverContact,351193003,,,2135286426218871296
9786798,0.74,OverContact,273379350,,,2080291465938815104
9087918,0.78,OverContact,159761924,,,2126669828468768768
11230837,0.61,SemiDetached,48421158,,,2131807468344794368
6390205,0.8,OverContact,171092024,,,2075396264075986816
11612091,0.97,Ellipsoidal,26656764,,,2129838689697899264
6370361,0.84,Ellipsoidal,138429773,,,2077613364851257472
9414905,0.92,Ellipsoidal,272074861,,,2080384649547728384
9591358,0.84,Ellipsoidal,,,,2128082288594822400
5041843,0.65,SemiDetached,171501273,,,2073516137862754688
8804824,0.87,Ellipsoidal,164890479,,,2106374046408488320
5374999,0.67,SemiDetached,139155503,,,2076601569333809152
9832227,0.95,Ellipsoidal,63205800,,,2128318232616057856
8872737,0.96,Ellipsoidal,158221271,,,2106419332543810048
3837677,0.94,Ellipsoidal,121275447,,,2099645172686871808
12553806,0.61,SemiDetached,,,,2133457629139518336
5535061,0.77,OverContact,137555821,,,2053526432340112896
5199489,0.84,Ellipsoidal,138970003,,,2076492481469204224
7518816,0.65,SemiDetached,158920521,,,2102751426173224192
8428136,0.85,Ellipsoidal,159521624,,,2126225728850310656
10141087,0.8,OverContact,,,,2129115554644435072
2854752,0.79,OverContact,137348835,,,2051907603329582592
6671698,0.73,OverContact,164730180,,,2104141419329746432
10861842,0.76,OverContact,26584957,,,2129279927332436992
7657914,0.72,OverContact,383752762,,,2117022266766996224
7590728,0.7,SemiDetached,,,,2105746912464495232
9091810,0.7,SemiDetached,240180171,,,2126529778175608320
5478466,0.97,Ellipsoidal,171582297,,,2073604064437127296
4466691,0.78,OverContact,137552644,,,2053165345852008064
5440746,0.86,Ellipsoidal,122065027,,,2101375082435517440
10796477,0.74,OverContact,26417202,,,2129300203878642304
7601767,0.8,OverContact,,,,2102799912065505920
6836140,0.73,OverContact,123231981,,,2116709386989485440
9592145,0.65,SemiDetached,270518745,,,2128071499636865152
7516345,0.75,OverContact,158634609,,,2102925320809663104
3953981,0.75,OverContact,137152301,,,2052949528034416896
9957351,0.6,SemiDetached,271040523,,,2128160353920361728
5282464,0.73,OverContact,138433995,,,2077289112000336000
11395645,0.75,OverContact,298835973,,,2132749715451154944
4947528,0.75,OverContact,169560376,,,2073679204865320192
12055014,0.85,Ellipsoidal,399955376,,,2132963604821825664
2972514,0.74,OverContact,120971391,,,2099223166380428032
5376552,0.82,Ellipsoidal,184091842,,,2076593258580442752
10920314,0.64,SemiDetached,26539743,,,2129284226600519936
5128972,0.75,OverContact,,,,2073544622086884224
9639265,0.63,SemiDetached,158324888,,,2130521658216479616
5201619,0.74,OverContact,184091186,,,2076398782466126592
5461570,0.96,Ellipsoidal,184009317,,,2076595835560782976
11495781,0.94,Ellipsoidal,48528176,,,2132025961921646976
9075704,0.68,SemiDetached,,,,2106399610054047232
3448245,0.69,SemiDetached,137687487,,,2051947769857973120
8257903,0.77,OverContact,268606707,,,2079017303762913280
8263940,0.92,Ellipsoidal,184997977,,,2076066042756926464
11560447,0.59,SemiDetached,26656583,,,2129813469650632064
6791604,0.7,SemiDetached,271961107,,,2077133702907858432
11154110,0.74,OverContact,264507612,,,2086887264394711936
4458989,0.81,Ellipsoidal,122226932,,,2100992005713565056
6153219,0.62,SemiDetached,,,,2075162720933689856
6044543,0.67,SemiDetached,137627151,,,2053614118393506176
11825057,0.61,SemiDetached,,,,2087265663893261696
10586874,0.77,OverContact,279844867,,,2131482386561646848
5358200,0.79,OverContact,122446411,,,2101182805341416448
8074045,0.62,SemiDetached,123126295,,,2116966599692633088
9541127,0.68,SemiDetached,273042994,,,2080249027360395904
8814635,0.84,Ellipsoidal,,,,2127071425091242112
7506164,0.88,Ellipsoidal,164552688,,,2105036249995137664
9307423,0.73,OverContact,240218974,,,2082303984537454208
6213131,0.64,SemiDetached,,,,2077498981283602944
4660997,0.62,SemiDetached,138215524,,,2052479246295890048
8145477,0.89,Ellipsoidal,123490639,,,2105324730059420800
5956776,0.61,SemiDetached,122597937,,,2101595049179883392
7431703,0.64,SemiDetached,158431889,,,2102608317862904192
12157987,0.66,SemiDetached,290032774,,,2130165347730112256
7037319,0.84,Ellipsoidal,240184878,,,2077706101785740800
8311255,0.69,SemiDetached,271885964,,,2079642685358530304
7938870,0.62,SemiDetached,123416563,,,2105264364298580608
8587078,0.88,Ellipsoidal,,,,2076145035796918656
9644680,0.68,SemiDetached,159224771,,,2127705534060756224
11084782,0.93,Ellipsoidal,424864132,,,2129668192378867968
8507080,0.84,Ellipsoidal,,,,2079607432267333888
9142964,0.73,OverContact,158212615,,,2106447679327409536
11404698,0.58,SemiDetached,26748589,,,2129787940364131200
5878081,0.72,OverContact,,,,2053587249077916288
9356753,0.76,OverContact,272846137,,,2080162170243419264
3954227,0.56,SemiDetached,137217821,,,2052785017907467136
7698650,0.88,Ellipsoidal,272716136,,,2078774689650398080
11703960,0.93,Ellipsoidal,399860885,,,2132837332784381056
10216186,0.64,SemiDetached,271423572,,,2128553257527357824
9514070,0.64,SemiDetached,351909682,,,2106545810740651648
5978521,0.94,Ellipsoidal,360023118,,,2076834841904369664
8554005,0.76,OverContact,159097761,,,2126955323535081728
12055517,0.77,OverContact,298834493,,,2132935429836441984
9944907,0.71,OverContact,158840964,,,2127773669422400640
7818448,0.66,SemiDetached,159443322,,,2126075886031809408
5290305,0.8,OverContact,184247986,,,2076411736087917056
7584826,0.62,SemiDetached,123450849,,,2105184237388353152
3958488,0.95,Ellipsoidal,137689084,,,2053092571924787968
10844279,0.82,Ellipsoidal,48216762,,,2131706107116717952
7378178,0.71,OverContact,272178321,,,2077269797528784128
5524325,0.83,Ellipsoidal,,,,2101347251048104704
7304911,0.95,Ellipsoidal,273509965,,,2078523966642699008
10229723,0.83,Ellipsoidal,268385567,,,2085669108591519232
11509282,0.83,Ellipsoidal,26748301,,,2129797595450825600
4037163,0.59,SemiDetached,120425104,,,2100297453661826816
3437778,0.68,SemiDetached,394178844,,,2052886138614110592
5022908,0.8,OverContact,138960221,,,2076489629610662144
7013934,0.9,Ellipsoidal,164674914,,,2104165711664855424
8539850,0.91,Ellipsoidal,351804464,,,2105422487813982720
11144556,0.84,Ellipsoidal,27394788,,,2134780135472361088
9328852,0.54,SemiDetached,164832365,,,2107173906758145664
10007533,0.87,Ellipsoidal,159225783,,,2127824281316283904
3344427,0.57,SemiDetached,137350093,,,2052673451835469568
5820209,0.81,Ellipsoidal,171514594,,,2075128399867646720
7458285,0.71,OverContact,271762237,,,2078015511228466944
10226388,0.77,OverContact,273872891,,,2086340910195624320
8579812,0.68,SemiDetached,,,,2079291116516195072
2447893,0.58,SemiDetached,137636542,,,2051844729305806848
10275747,0.62,SemiDetached,63291047,,,2128458012331982848
7835348,0.95,Ellipsoidal,271967494,,,2079541942604895360
6302051,0.75,OverContact,184562770,,,2077048250236631040
4936680,0.67,SemiDetached,139109118,,,2076297627397174528
8285349,0.9,Ellipsoidal,352012002,,,2105913174938106240
3127873,0.91,Ellipsoidal,138481592,,,2052071572304048512
10095469,0.6,SemiDetached,,,,2085570186905882624
7620664,0.94,Ellipsoidal,271763236,,,2078018878483078144
8183540,0.87,Ellipsoidal,,,,2078863578291712128
12554536,0.63,SemiDetached,299161302,,,2133449039205032576
8248812,0.66,SemiDetached,272718556,,,2078924188871563904
9692336,0.63,SemiDetached,,,,2119126830803408768
4077442,0.59,SemiDetached,184471151,,,2073275443581473792
5077994,0.67,SemiDetached,350988670,,,2103524077909190784
3956881,0.95,Ellipsoidal,137483004,,,2053101952133466496
11076176,0.58,SemiDetached,399953576,,,2131205004693182592
7433513,0.7,SemiDetached,,,,2102924981512513920
12108333,0.62,SemiDetached,267672284,,,2133081664883970688
8094140,0.5,SemiDetached,159442378,,,2126862998917377792
9475663,0.8,OverContact,272075120,,,2080389150673456256
11017077,0.68,SemiDetached,48449309,,,2131597805222397824
2988984,0.82,Ellipsoidal,137095607,,,2052630124205947648
5357682,0.83,Ellipsoidal,122441492,,,2101195518444580224
9453192,0.83,Ellipsoidal,158112185,,,2106533475594488320
11303526,0.86,Ellipsoidal,27391113,,,2134803946771664384
7839027,0.88,Ellipsoidal,272942521,,,2078753111734171776
9350889,0.89,Ellipsoidal,271426421,,,2080065997334474368
6865626,0.66,SemiDetached,63369720,,,2125735827703196544
3228863,0.65,SemiDetached,394179296,,,2051369705923204224
5703230,0.93,Ellipsoidal,122712115,,,2101526505803974016
6669809,0.65,SemiDetached,164646288,,,2104877439284094592
10383620,0.64,SemiDetached,123205899,,,2119793448384427520
4451148,0.82,Ellipsoidal,121274442,,,2100417712746980608
5770860,0.88,Ellipsoidal,120107063,,,2103661379423720192
2449084,0.7,SemiDetached,137817568,,,2051864756732695680
4554004,0.62,SemiDetached,122063404,,,2101052646357342592
7119757,0.64,SemiDetached,63282855,,,2125755653270472448
2719436,0.68,SemiDetached,137891285,,,2051867612892164096
8539720,0.85,Ellipsoidal,351804416,,,2105421422662054016
10724533,0.76,OverContact,299156852,,,2130953590190102784
10905804,0.68,SemiDetached,48354174,,,2131718614061379840
7707742,0.61,SemiDetached,268297368,,,2078599351906119168
6283224,0.57,SemiDetached,137088171,,,2101628176270469760
3218683,0.69,SemiDetached,120891975,,,2099960045328408192
7023917,0.71,OverContact,158794976,,,2102332172948222976
9637239,0.91,Ellipsoidal,279911552,,,2106553404242900992
8620561,0.53,SemiDetached,159304261,,,2126990847205972736
8953296,0.6,SemiDetached,63074304,,,2126611210754980608
10934755,0.68,SemiDetached,28231519,,,2086533530889529728
12785282,0.64,SemiDetached,406997952,,,2139267753522594816
6187893,0.6,SemiDetached,120576722,,,2103876982484984704
5439790,0.81,Ellipsoidal,121942248,,,2101330517855569152
3556229,0.61,SemiDetached,,,,2052176914955043072
8166095,0.78,OverContact,63076061,,,2126166595740258560
8386048,0.71,OverContact,273786690,,,2079069766781472896
9790965,0.59,SemiDetached,268380075,,,2085504559804145280
7950962,0.92,Ellipsoidal,158726046,,,2102968480941570688
10454725,0.64,SemiDetached,164723667,,,2131432053843989504
5198934,0.94,Ellipsoidal,,,,2076492928145681152
7766185,0.73,OverContact,272176884,,,2078036917346313088
6464285,0.55,SemiDetached,169820711,,,2076920157133013376
8822555,0.8,OverContact,,,,2126461883332029312
5606644,0.63,SemiDetached,121272399,,,2100644766196179712
12109845,0.52,SemiDetached,417678531,,,2130173422268699520
8904448,0.74,OverContact,273581800,,,2079316783241007488
5560831,0.6,SemiDetached,170737257,,,2073803007312735616
2577756,0.63,SemiDetached,351056381,,,2051810438289402368
9394601,0.59,SemiDetached,158393140,,,2130302477446200832
8314879,0.62,SemiDetached,272718879,,,2078930682862166272
9840412,0.79,OverContact,271874538,,,2080487453885475840
8523194,0.94,Ellipsoidal,239290461,,,2076134762234973440
8696327,0.75,OverContact,,,,2079892686813659264
7777443,0.63,SemiDetached,268297677,,,2078602581721521024
3114667,0.52,SemiDetached,122683575,,,2052641355539730304
10815379,0.79,OverContact,28359831,,,2086515182788734848
7501230,0.75,OverContact,123314298,,,2116872316571058560
8240861,0.62,SemiDetached,271046189,,,2078327669445177600
4739791,0.59,SemiDetached,394176180,,,2101049352116889984
7258889,0.59,SemiDetached,164411305,,,2105154859812633472
6045264,0.61,SemiDetached,137759068,,,2053615973819540864
7584739,0.72,OverContact,123450851,,,2105231104071761792
9020426,0.59,SemiDetached,159722556,,,2126647803876421760
9083523,0.65,SemiDetached,159169838,,,2127095300809215488
3954798,0.58,SemiDetached,137319503,,,2052782784524556928
7977261,0.91,Ellipsoidal,273139514,,,2078854404241272192
8087799,0.73,OverContact,,,,2103021394938975488
