KIC,KeplerMorph,KeplerClass,TIC,TessMorph,TessClass,DR3
,,, 0071546916, 0.150,Detached,5448307821914759296
,,, 0071612483, 0.431,SemiDetached,1468504126582376448
,,, 0071847068, 0.363,Detached,505874648421202688
,,, 0072121778, 0.162,Detached,6146322054272646272
,,, 0072534221, 0.197,Detached,3740983073924781696
,,, 0072588909, 0.922,Ellipsoidal,5021001937949949696
,,, 0072605231, 0.312,Detached,5420218701441285248
,,, 0072782654, 0.215,Detached,3218981269985120384
,,, 0072839144, 0.615,SemiDetached,1351714684378550016
,,, 0073177813, 0.608,SemiDetached,6133743301950226432
,,, 0073201833, 0.594,SemiDetached,5445244238924237568
,,, 0073386477, 0.549,SemiDetached,5445295160055326592
,,, 0073455146, 0.855,Ellipsoidal,6128954482140275200
,,, 0073723286, 0.102,Detached,5417424326998593408
,,, 0073764693, 0.657,SemiDetached,5442024044243183232
,,, 0073884611, 0.548,SemiDetached,4321917051899730432
,,, 0074528318, 0.215,Detached,5427278940484845184
,,, 0074528791, 0.588,SemiDetached,5427171390199613184
,,, 0075377304, 0.842,Ellipsoidal,2374635642128481920
,,, 0075490265, 0.246,Detached,6204190764291964800
,,, 0075818403, 0.712,OverContact,5423487686952671360
,,, 0075969405, 0.306,Detached,6200794402932338944
,,, 0076658755, 0.341,Detached,6207223011201434624
,,, 0076698707, 0.545,SemiDetached,6207527850800186112
,,, 0076758733, 0.197,Detached,6653252959710831360
,,, 0076923707, 0.202,Detached,6552346035980010624
,,, 0076989773, 0.226,Detached,6551292978718711168
,,, 0077031413, 0.415,SemiDetached,2323985535188372480
,,, 0077031414, 0.512,SemiDetached,2323985539482908416
,,, 0077044471, 0.310,Detached,2327000400367097984
,,, 0077139245, 0.521,SemiDetached,3968406436971108224
,,, 0077209028, 0.538,SemiDetached,4864684163671714816
,,, 0077320223, 0.249,Detached,139900347689740800
,,, 0077437462, 0.453,SemiDetached,4818744295824258432
,,, 0077468221, 0.369,Detached,6041443458331586048
,,, 0077545160, 0.128,Detached,136568969193225344
,,, 0077557473, 0.513,SemiDetached,3487386656917750528
,,, 0077630842, 0.565,SemiDetached,3828660708104028032
,,, 0077703308, 0.526,SemiDetached,4824337099158440064
,,, 0077951245, 0.075,Detached,4827527233363019776
,,, 0078055054, 0.241,Detached,2905983466705521792
,,, 0078151317, 0.521,SemiDetached,3822463203439684992
,,, 0078234838, 0.306,Detached,3832893617417083776
,,, 0078450017, 0.334,Detached,2926107553156255360
,,, 0078568736, 0.159,Detached,2925867722185562752
,,, 0078740218, 0.235,Detached,2925815495380980480
,,, 0079328890, 0.673,SemiDetached,6466328664359496320
,,, 0079403459, 0.583,SemiDetached,6466063063582742656
,,, 0079492099, 0.300,Detached,6465248737783203072
,,, 0079548760, 0.173,Detached,4846434710191672320
,,, 0079565128, 0.580,SemiDetached,4834023766534843520
,,, 0080025900, 0.302,Detached,5520293397947663488
,,, 0080059889, 0.342,Detached,6685262629409296256
,,, 0080252615, 0.639,SemiDetached,6684437686450850048
,,, 0080556181, 0.481,SemiDetached,2928955146532019200
,,, 0080650858, 0.517,SemiDetached,5533554569025442432
,,, 0080659292, 0.547,SemiDetached,5520751550702482432
,,, 0080929740, 0.321,Detached,1081697791355588480
,,, 0081038220, 0.532,SemiDetached,1035063002096359680
,,, 0081390067, 0.246,Detached,466280070774747904
,,, 0081604794, 0.352,Detached,5519651970353416960
,,, 0081609273, 0.750,OverContact,5519315829032177152
,,, 0081702112, 0.316,Detached,5350012341389819776
,,, 0082224114, 0.781,OverContact,740582795692769408
,,, 0082337809, 0.214,Detached,463309357855249792
,,, 0082580956, 0.466,SemiDetached,5346835439993187584
,,, 0083113607, 0.381,Detached,3515385553016097792
,,, 0083135408, 0.531,SemiDetached,3516870237310861312
,,, 0083222019, 0.281,Detached,431464378685659008
,,, 0083449549, 0.531,SemiDetached,6272832210057101184
,,, 0083812531, 0.559,SemiDetached,431242964531324288
,,, 0083833793, 0.583,SemiDetached,6272160511532390400
,,, 0083905462, 0.339,Detached,429158427924463872
,,, 0083914837, 0.649,SemiDetached,6222961592437222400
,,, 0083939434, 0.770,OverContact,6220512430286330112
,,, 0084069091, 0.458,SemiDetached,1954205794653923200
,,, 0084070123, 0.625,SemiDetached,1960290182764941440
,,, 0084342725, 0.634,SemiDetached,476270508301993344
,,, 0085031598, 0.384,Detached,475384301928844288
,,, 0085585153, 0.708,OverContact,1341542625569128960
,,, 0085600400, 0.603,SemiDetached,1340689198387514112
,,, 0085711393, 0.483,SemiDetached,2035540208846000768
,,, 0085785338, 0.442,SemiDetached,166437168205381376
,,, 0086081744, 0.331,Detached,494221650532352640
,,, 0086182628, 0.091,Detached,3925963363993879552
,,, 0086232609, 0.265,Detached,1040191742802868992
,,, 0086385104, 0.511,SemiDetached,1065020124107652352
,,, 0086396382, 0.559,SemiDetached,3435282862461427072
,,, 0087251422, 0.167,Detached,279860760500704000
,,, 0087260967, 0.504,SemiDetached,6707446410383995648
,,, 0087429086, 0.540,SemiDetached,266586661559352064
,,, 0088118399, 0.892,Ellipsoidal,3931101416190309504
,,, 0088380001, 0.147,Detached,5073250352545368448
,,, 0088459699, 0.463,SemiDetached,1099227339598287616
,,, 0088479623, 0.502,SemiDetached,5074604160596736640
,,, 0088571421, 0.255,Detached,5074360618771332736
,,, 0088589037, 0.489,SemiDetached,1798755535044369024
,,, 0088646716, 0.793,OverContact,719171456011132544
,,, 0088703412, 0.352,Detached,1099597531418647680
,,, 0088916475, 0.129,Detached,3067655312856051072
,,, 0088977253, 0.217,Detached,3064530810048196352
,,, 0089018905, 0.340,Detached,6517673761432499072
,,, 0089045042, 0.088,Detached,5057983496155992448
,,, 0089239251, 0.824,Ellipsoidal,4887997933349445120
,,, 0089428764, 0.841,Ellipsoidal,6590559558307943168
,,, 0089502706, 0.801,Ellipsoidal,2339400207173204864
,,, 0089522181, 0.371,Detached,2031022212482338048
,,, 0089543393, 0.691,SemiDetached,2390134529832050176
,,, 0089761288, 0.714,OverContact,2059011376158159488
,,, 0089787778, 0.662,SemiDetached,5314401427507661312
,,, 0090349611, 0.599,SemiDetached,2059095424401407232
,,, 0090716944, 0.028,Detached,6709350936317302528
,,, 0090836525, 0.892,Ellipsoidal,5835662847902208256
,,, 0090911675, 0.448,SemiDetached,6705125959806268416
