KIC,KeplerMorph,KeplerClass,TIC,TessMorph,TessClass,DR3,Prediction,DR3ClassPrediction,maxValue
,,, 0202445608,0.622,SemiDetached,5962002815555171968,"0.9139355, 0.0466802, 1.0028426e-05, 0.039374236",Detached,0.9139354825019836
,,, 0202601061,0.534,SemiDetached,416013251008903424,"0.31250265, 0.1604852, 0.13441741, 0.3925947",Ellipsoidal,0.39259469509124756
,,, 0204325855,0.757,OverContact,2386118937273397632,"0.46724242, 0.43249574, 0.07299537, 0.027266448",Detached,0.46724241971969604
,,, 0204327008,0.742,OverContact,2398860971369507200,"0.07460715, 0.006263023, 0.009618237, 0.90951157",Ellipsoidal,0.9095115661621094
,,, 0204497617,0.496,SemiDetached,6591942469057785472,"0.23417771, 0.12514827, 0.13016371, 0.5105103",Ellipsoidal,0.5105103254318237
,,, 0206537272,0.832,Ellipsoidal,6819090851117929984,"0.59210646, 0.21649544, 0.055554494, 0.13584358",Detached,0.5921064615249634
,,, 0207080350,0.183,Detached,6582445957064044032,"0.57430655, 0.29218173, 0.0603303, 0.07318146",Detached,0.5743065476417542
,,, 0207085748,0.741,OverContact,4929395130250439168,"0.7882005, 0.21179885, 6.5240494e-07, 5.693774e-13",Detached,0.7882004976272583
,,, 0207174531,0.689,SemiDetached,4727644504718888064,"0.44541082, 0.10384728, 0.014066749, 0.4366752",Detached,0.445410817861557
,,, 0207200487,0.686,SemiDetached,4727316678453702656,"0.54515725, 0.4236962, 0.024934428, 0.0062121046",Detached,0.545157253742218
,,, 0207384197,0.767,OverContact,1664115594578931968,"0.19334055, 0.24336629, 0.30581713, 0.25747597",OverContact,0.3058171272277832
,,, 0207394908,0.347,Detached,1443474603368456448,"0.015139705, 0.00042397348, 0.11224959, 0.8721867",Ellipsoidal,0.8721867203712463
,,, 0207398432,0.603,SemiDetached,1429294369407516288,"0.76998246, 0.22975475, 0.000140971, 0.00012181386",Detached,0.7699824571609497
,,, 0207496306,0.769,OverContact,1431129011933593088,"0.09778442, 0.012027481, 0.017955458, 0.8722326",Ellipsoidal,0.8722326159477234
,,, 0207496824,0.764,OverContact,1623766300978250240,"0.34270036, 0.52421546, 0.12617755, 0.0069066556",SemiDetached,0.5242154598236084
,,, 0210636260,0.803,Ellipsoidal,5895611863911960960,"0.13113342, 0.013330068, 0.02031615, 0.8352204",Ellipsoidal,0.8352203965187073
,,, 0211215485,0.605,SemiDetached,6735526872216908160,"0.96292084, 0.036913265, 9.9457066e-05, 6.6423694e-05",Detached,0.9629208445549011
,,, 0211412634,0.845,Ellipsoidal,6783531824738645760,"0.22567776, 0.23562568, 0.30344158, 0.23525503",OverContact,0.30344158411026
,,, 0212377300,0.842,Ellipsoidal,5142214676776470144,"0.3830752, 0.14485905, 0.09811626, 0.37394944",Detached,0.38307520747184753
,,, 0213067604,0.728,OverContact,3213280611432679296,"0.49249128, 0.16881718, 0.07112028, 0.26757136",Detached,0.4924912750720978
,,, 0214198381,0.606,SemiDetached,6594266909654023296,"0.47493947, 0.2354842, 0.13387859, 0.15569778",Detached,0.4749394655227661
,,, 0215258019,0.545,SemiDetached,5045542247209122944,"0.27078262, 0.28706294, 0.15824309, 0.2839113",SemiDetached,0.28706294298171997
,,, 0215336287,0.538,SemiDetached,5045577019264318720,"0.25301397, 0.152219, 0.20452388, 0.3902431",Ellipsoidal,0.3902431130409241
,,, 0215403644,0.558,SemiDetached,4948277868068000640,"0.7895794, 0.009182935, 0.010828218, 0.19040939",Detached,0.7895793914794922
,,, 0216728030,0.703,OverContact,5935235926507483648,"0.45847806, 0.10393854, 0.051659603, 0.38592386",Detached,0.45847806334495544
,,, 0219033506,0.594,SemiDetached,1560572488648076800,"0.824284, 0.13076803, 0.00053781905, 0.044410136",Detached,0.824284017086029
,,, 0219173590,0.562,SemiDetached,5553357426277546368,"0.80548984, 0.09850908, 0.00011530495, 0.09588577",Detached,0.8054898381233215
,,, 0219176881,0.843,Ellipsoidal,5548478897481339776,"0.41574955, 0.09408667, 0.05247193, 0.43769187",Ellipsoidal,0.437691867351532
,,, 0219222201,0.531,SemiDetached,4830968051922608512,"0.76300746, 0.14622983, 0.00032836245, 0.09043434",Detached,0.7630074620246887
,,, 0219308281,0.553,SemiDetached,6464219869776996224,"0.85688597, 0.124578685, 3.367279e-05, 0.018501641",Detached,0.8568859696388245
,,, 0219338651,0.588,SemiDetached,6489238672751420160,"0.94595504, 0.053464912, 2.2095558e-07, 0.0005798626",Detached,0.9459550380706787
,,, 0219373406,0.601,SemiDetached,4770978525711924352,"0.95355195, 0.04590316, 1.7109534e-07, 0.00054468424",Detached,0.9535519480705261
,,, 0219699532,0.594,SemiDetached,3509530997195469312,"0.21127903, 0.24295814, 0.30940995, 0.23635289",OverContact,0.3094099462032318
,,, 0219750638,0.77,OverContact,1632613349492009856,"0.7906603, 0.15354441, 0.037530135, 0.018265089",Detached,0.7906603217124939
,,, 0219843981,0.728,OverContact,1281813580534856448,"0.4712386, 0.082272254, 0.1178933, 0.32859585",Detached,0.4712386131286621
,,, 0219900027,0.684,SemiDetached,1637714117077137280,"0.7164439, 0.2355152, 0.01983388, 0.028207013",Detached,0.7164438962936401
,,, 0219927211,0.511,SemiDetached,6670255223402918272,"0.5552351, 0.33786646, 0.0741724, 0.032726083",Detached,0.5552350878715515
,,, 0220015845,0.033,Detached,4937862434935929472,"0.92961305, 0.070371985, 1.0676585e-05, 4.2778956e-06",Detached,0.9296130537986755
,,, 0220042007,0.588,SemiDetached,4799811706322746752,"0.776184, 0.21258906, 0.0009234526, 0.01030348",Detached,0.7761840224266052
,,, 0220388567,0.435,SemiDetached,6504774806411682304,"0.2056879, 0.22081722, 0.27977693, 0.29371804",Ellipsoidal,0.29371803998947144
,,, 0220402294,0.641,SemiDetached,4775507585905757440,"0.62253964, 0.28709137, 0.0077008135, 0.08266813",Detached,0.6225396394729614
,,, 0220430912,0.561,SemiDetached,4776318613169946624,"0.25405422, 0.23761706, 0.26781806, 0.2405106",OverContact,0.26781806349754333
